Year_WW,Demand,Weekly_1wk,Quarterly_13wk,BiAnnual_26wk,Annual_52wk,Total_Supply,Surplus
202545,25,25,0,0,0,25,0
202546,16,3,0,0,13,16,0
202547,0,0,0,0,13,13,13
202548,15,2,0,0,13,15,0
202549,26,13,0,0,13,26,0
202550,19,6,0,0,13,19,0
202551,0,0,0,0,13,13,13
202552,0,0,0,0,13,13,13
202601,15,2,0,0,13,15,0
202602,18,5,0,0,13,18,0
202603,18,5,0,0,13,18,0
202604,17,4,0,0,13,17,0
202605,26,13,0,0,13,26,0
202606,16,3,0,0,13,16,0
202607,25,12,0,0,13,25,0
202608,26,13,0,0,13,26,0
202609,29,16,0,0,13,29,0
202610,23,10,0,0,13,23,0
202611,16,3,0,0,13,16,0
202612,24,11,0,0,13,24,0
202613,0,0,0,0,13,13,13
202614,0,0,0,0,13,13,13
202615,21,6,0,0,15,21,0
202616,15,0,0,0,15,15,0
202617,15,0,0,0,15,15,0
202618,16,1,0,0,15,16,0
202619,18,3,0,0,15,18,0
202620,18,3,0,0,15,18,0
202621,23,8,0,0,15,23,0
202622,24,9,0,0,15,24,0
202623,15,0,0,0,15,15,0
202624,23,8,0,0,15,23,0
202625,18,3,0,0,15,18,0
202626,0,0,0,0,15,15,15
202627,26,10,0,0,16,26,0
202628,25,9,0,0,16,25,0
202629,26,10,0,0,16,26,0
202630,23,7,0,0,16,23,0
202631,21,5,0,0,16,21,0
202632,18,2,0,0,16,18,0
202633,22,6,0,0,16,22,0
202634,24,8,0,0,16,24,0
202635,0,0,0,0,16,16,16
202636,19,3,0,0,16,19,0
202637,27,11,0,0,16,27,0
202638,28,12,0,0,16,28,0
202639,15,0,0,0,16,16,1
202640,27,11,0,0,16,27,0
202641,27,11,0,0,16,27,0
202642,17,1,0,0,16,17,0
202643,26,10,0,0,16,26,0
202644,21,5,0,0,16,21,0
202645,20,4,0,0,16,20,0
202646,19,16,0,0,3,19,0
202647,0,0,0,0,3,3,3
202648,17,8,0,0,9,17,0
202649,18,9,0,0,9,18,0
202650,27,18,0,0,9,27,0
202651,0,0,0,0,9,9,9
202652,0,0,0,0,9,9,9
202653,20,5,0,0,15,20,0
202701,15,0,0,0,15,15,0
202702,16,1,0,0,15,16,0
202703,16,1,0,0,15,16,0
202704,21,6,0,0,15,21,0
202705,16,1,0,0,15,16,0
202706,20,5,0,0,15,20,0
202707,28,13,0,0,15,28,0
202708,20,5,0,0,15,20,0
202709,24,9,0,0,15,24,0
202710,19,4,0,0,15,19,0
202711,27,12,0,0,15,27,0
202712,15,0,0,0,15,15,0
202713,0,0,0,0,15,15,15
202714,0,0,0,0,13,13,13
202715,26,10,0,3,13,26,0
202716,22,6,0,3,13,22,0
202717,23,7,0,3,13,23,0
202718,16,0,0,3,13,16,0
202719,29,13,0,3,13,29,0
202720,21,5,0,3,13,21,0
202721,16,0,0,3,13,16,0
202722,23,7,0,3,13,23,0
202723,19,3,0,3,13,19,0
202724,28,12,0,3,13,28,0
202725,25,9,0,3,13,25,0
202726,0,0,0,3,12,15,15
202727,24,9,0,3,12,24,0
202728,29,14,0,3,12,29,0
202729,28,13,0,3,12,28,0
202730,20,5,0,3,12,20,0
202731,24,9,0,3,12,24,0
202732,18,3,0,3,12,18,0
202733,26,11,0,3,12,26,0
202734,16,1,0,3,12,16,0
202735,0,0,0,3,12,15,15
202736,15,0,0,3,12,15,0
202737,25,7,0,3,15,25,0
202738,18,0,0,3,15,18,0
202739,27,8,0,3,16,27,0
202740,19,0,0,3,16,19,0
202741,16,0,0,0,16,16,0
202742,28,12,0,0,16,28,0
202743,18,2,0,0,16,18,0
202744,28,12,0,0,16,28,0
202745,16,0,0,0,16,16,0
202746,21,5,0,0,16,21,0
202747,0,0,0,0,19,19,19
202748,19,0,0,0,19,19,0
202749,22,3,0,0,19,22,0
202750,25,4,0,0,21,25,0
202751,0,0,0,0,21,21,21
202752,0,0,0,0,15,15,15
202801,15,0,0,0,15,15,0
202802,28,13,0,0,15,28,0
202803,20,5,0,0,15,20,0
202804,17,2,0,0,15,17,0
202805,20,5,0,0,15,20,0
202806,20,5,0,0,15,20,0
202807,18,3,0,0,15,18,0
202808,25,10,0,0,15,25,0
202809,19,4,0,0,15,19,0
202810,26,11,0,0,15,26,0
202811,29,14,0,0,15,29,0
202812,25,10,0,0,15,25,0
202813,0,0,0,0,15,15,15
202814,0,0,0,0,15,15,15
202815,25,10,0,0,15,25,0
202816,16,0,0,1,15,16,0
202817,24,8,0,1,15,24,0
202818,25,9,0,1,15,25,0
202819,17,0,0,2,15,17,0
202820,23,6,0,2,15,23,0
202821,26,9,0,2,15,26,0
202822,18,1,0,2,15,18,0
202823,17,0,0,2,15,17,0
202824,22,5,0,2,15,22,0
202825,21,4,0,2,15,21,0
202826,0,0,0,2,15,17,17
202827,19,2,0,2,15,19,0
202828,29,12,0,2,15,29,0
202829,25,8,0,2,15,25,0
202830,26,9,0,2,15,26,0
202831,23,6,0,2,15,23,0
202832,18,0,0,2,16,18,0
202833,25,7,0,2,16,25,0
202834,20,2,0,2,16,20,0
202835,0,0,0,2,16,18,18
202836,28,10,0,2,16,28,0
202837,27,12,0,2,13,27,0
202838,27,12,0,2,13,27,0
202839,15,0,0,2,13,15,0
202840,18,2,0,2,14,18,0
202841,28,12,0,2,14,28,0
202842,15,0,0,1,14,15,0
202843,27,7,0,1,19,27,0
202844,20,0,0,1,19,20,0
202845,21,2,0,0,19,21,0
202846,19,0,0,0,19,19,0
202847,0,0,0,0,10,10,10
202848,16,0,0,0,16,16,0
202849,18,2,0,0,16,18,0
202850,29,15,0,0,14,29,0
202851,0,0,0,0,14,14,14
202852,0,0,0,0,14,14,14
202901,15,0,0,0,15,15,0
202902,24,9,0,0,15,24,0
202903,29,14,0,0,15,29,0
202904,26,11,0,0,15,26,0
202905,20,5,0,0,15,20,0
202906,18,3,0,0,15,18,0
202907,25,10,0,0,15,25,0
202908,22,7,0,0,15,22,0
202909,21,6,0,0,15,21,0
202910,29,14,0,0,15,29,0
202911,29,14,0,0,15,29,0
202912,25,10,0,0,15,25,0
202913,0,0,0,0,15,15,15
202914,0,0,0,0,15,15,15
202915,22,7,0,0,15,22,0
202916,17,0,0,2,15,17,0
202917,19,2,0,2,15,19,0
202918,17,0,0,2,15,17,0
202919,18,1,0,2,15,18,0
202920,26,9,0,2,15,26,0
202921,23,6,0,2,15,23,0
202922,23,6,0,2,15,23,0
202923,19,2,0,2,15,19,0
202924,26,9,0,2,15,26,0
202925,24,7,0,2,15,24,0
202926,0,0,0,2,15,17,17
202927,21,4,0,2,15,21,0
202928,29,12,0,2,15,29,0
202929,24,7,0,2,15,24,0
202930,21,4,0,2,15,21,0
202931,20,3,0,2,15,20,0
202932,18,2,0,2,14,18,0
202933,17,1,0,2,14,17,0
202934,23,7,0,2,14,23,0
202935,0,0,0,2,14,16,16
202936,22,6,0,2,14,22,0
202937,16,0,0,2,14,16,0
202938,27,11,0,2,14,27,0
202939,15,0,0,2,13,15,0
202940,28,14,0,2,12,28,0
202941,16,2,0,2,12,16,0
202942,17,0,0,0,17,17,0
202943,25,13,0,0,12,25,0
202944,17,0,0,0,17,17,0
202945,27,5,0,0,22,27,0
202946,25,3,0,0,22,25,0
202947,0,0,0,0,22,22,22
202948,21,5,0,0,16,21,0
202949,24,8,0,0,16,24,0
202950,16,0,0,0,16,16,0
202951,0,0,0,0,16,16,16
202952,0,0,0,0,16,16,16
203001,15,0,0,0,15,15,0
203002,21,6,0,0,15,21,0
203003,21,6,0,0,15,21,0
203004,24,9,0,0,15,24,0
203005,22,7,0,0,15,22,0
203006,23,8,0,0,15,23,0
203007,19,4,0,0,15,19,0
203008,23,8,0,0,15,23,0
203009,28,13,0,0,15,28,0
203010,15,0,0,0,15,15,0
203011,25,10,0,0,15,25,0
203012,26,11,0,0,15,26,0
203013,0,0,0,0,15,15,15
203014,0,0,0,0,15,15,15
203015,16,1,0,0,15,16,0
203016,25,10,0,0,15,25,0
203017,29,14,0,0,15,29,0
203018,23,8,0,0,15,23,0
203019,27,12,0,0,15,27,0
203020,19,4,0,0,15,19,0
203021,27,12,0,0,15,27,0
203022,25,10,0,0,15,25,0
203023,20,5,0,0,15,20,0
203024,16,1,0,0,15,16,0
203025,19,4,0,0,15,19,0
203026,0,0,0,0,15,15,15
203027,21,6,0,0,15,21,0
203028,17,2,0,0,15,17,0
203029,22,7,0,0,15,22,0
203030,15,0,0,0,15,15,0
203031,26,11,0,0,15,26,0
